0,-------,---,---,---,---,---,---,---,---
4382.35,holding,2198.42,1824.42,2077.87,2024.88,2053.13,1.68E+03,1619.11,2101.92
4382.62,holding,2197.97,1824.1,2077.38,2024.88,2052.98,1.68E+03,1618.7,2100.95
4382.89,holding,2197.61,1823.42,2077.47,2024.57,2052.98,1.68E+03,1618.5,2099.75
4383.16,holding,2197.35,1823.2,2076.97,2024.08,2052.25,1677.67,1618.5,2098.27
4383.43,holding,2197.26,1822.9,2076.57,2023.82,2052.13,1675.79,1618.06,2098.27
4383.7,holding,2197.26,1822.69,2076.29,2023.5,2051.69,1674.04,1617.66,2096.84
4383.97,holding,2196.59,1822.69,2076.29,2023.39,2051.35,1671.8,1617.63,2095.91
4384.24,holding,2196.59,1822.36,2076.03,2023.39,2051.11,1.67E+03,1617.28,2094.27
4384.52,holding,2196.24,1821.82,2075.96,2022.91,2051.11,1670.13,1617.02,2092.98
4384.79,holding,2195.69,1821.63,2075.51,2022.71,2050.94,1668.15,1617.02,2091.94
4385.06,holding,2195.64,1820.96,2075.23,2022.54,2050.7,1666.28,1616.67,2091.94
4385.33,holding,2195.64,1820.96,2074.87,2021.94,2050.37,1.66E+03,1616.47,2090.53
4385.6,holding,2195.1,1820.5,2074.87,2021.8,2049.93,1.66E+03,1615.99,2089.52
4385.87,holding,2194.55,1820.32,2074.47,2021.8,2050,1660.45,1615.55,2088.26
4386.14,holding,2194.58,1820.1,2074.13,2021.29,2050,1.66E+03,1615.45,2087.03
4386.42,holding,2194.19,1819.65,2073.88,2021.22,2049.73,1.66E+03,1615.45,2085.52
4386.69,holding,2194.19,1.82E+03,2073.68,2020.91,2049.17,1.66E+03,1615.01,2085.52
4386.96,holding,2194.24,1819.69,2073.34,2020.83,2048.95,1654.87,1614.85,2084.45
4387.23,holding,2193.39,1819,2073.34,2020.26,2048.69,1652.72,1614.33,2083.19
4387.5,holding,2193.21,1818.72,2073.06,2020.26,2048.69,1651.03,1614.16,2081.87
4387.77,holding,2192.92,1818.25,2072.9,2019.86,2048.31,1651.03,1613.58,2080.52
